id;user_id;search_type;company_name;domain;functions;geography;seniority;status;result_url;error_message;excel_file_name;created_at;updated_at;results_per_function
88f3169d-5267-4ebb-8633-fade5a41d923;b71b9ee5-7c13-403f-b46a-97efa3a316d1;manual;ACME Corpoaration;;"[""Information Technology"",""Marketing"",""Product Management""]";Canada;"[""VP""]";processing;;;;2025-11-04 23:57:13.121886+00;2025-11-04 23:57:13.121886+00;10
26bf7381-6ad3-404d-8586-ad360f253b61;b71b9ee5-7c13-403f-b46a-97efa3a316d1;manual;ACME Corpoaration;;"[""Healthcare Services"",""Entrepreneurship"",""Education"",""Engineering"",""Operations"",""Purchasing"",""Marketing""]";United States;"[""Director""]";processing;;;;2025-11-05 00:55:29.17149+00;2025-11-05 00:55:29.17149+00;10
b2a387c9-b951-40f3-8e88-f2ad397d6090;b71b9ee5-7c13-403f-b46a-97efa3a316d1;manual;ACME Corporation;acme.com;"[""Purchasing"",""Marketing"",""Sales""]";Germany;"[""VP"",""SVP"",""EVP"",""Director""]";processing;;;;2025-11-07 16:32:08.080039+00;2025-11-07 16:32:08.080039+00;5
f37416ee-056a-4939-b267-8a896ee3983d;b71b9ee5-7c13-403f-b46a-97efa3a316d1;manual;Trial Company;trial.com;"[""Arts and Design"",""Accounting""]";Chile;"[""Owner"",""C-Suite (CXO)""]";processing;;;;2025-11-14 15:54:25.057106+00;2025-11-14 15:54:25.057106+00;10
8aa9a756-17c9-490c-99a8-997e43a925e4;b71b9ee5-7c13-403f-b46a-97efa3a316d1;manual;asdf;asdf;"[""Arts and Design""]";Czech Republic;"[""Owner"",""C-Suite (CXO)""]";processing;;;;2025-11-14 15:54:57.82193+00;2025-11-14 15:54:57.82193+00;10
ed80aac4-69d5-449b-81ec-69a7ee63a2be;b71b9ee5-7c13-403f-b46a-97efa3a316d1;manual;Trial Company;trial.com;"[""Accounting"",""Arts and Design""]";Czech Republic;"[""C-Suite (CXO)"",""Owner""]";processing;;;;2025-11-14 16:01:05.26696+00;2025-11-14 16:01:05.26696+00;10
c8674b7a-556b-41b9-8092-92b8ec370680;b71b9ee5-7c13-403f-b46a-97efa3a316d1;manual;Trial Company;trial.com;"[""Accounting"",""Arts and Design""]";China;"[""Owner"",""C-Suite (CXO)""]";error;;Unable to generate report. Please check your input data.;;2025-11-14 16:21:09.569052+00;2025-11-14 16:21:27.145531+00;10
edf45632-175a-4c26-b64d-a166cf8b7c21;b71b9ee5-7c13-403f-b46a-97efa3a316d1;manual;Trial Company;trial.com;"[""Information Technology"",""Marketing""]";Denmark;"[""Owner"",""C-Suite (CXO)""]";error;;Unable to generate report. Please check your input data.;;2025-11-14 17:14:21.686935+00;2025-11-14 17:14:37.848853+00;10
524195ae-4d5c-46ae-9759-b9b4e3606010;b71b9ee5-7c13-403f-b46a-97efa3a316d1;manual;Trial Company;trial.com;"[""Accounting""]";Czech Republic;"[""Owner""]";processing;;;;2025-11-14 17:15:56.957149+00;2025-11-14 17:15:56.957149+00;10
16099623-d956-4a76-aa14-3c63c6a1ca50;b71b9ee5-7c13-403f-b46a-97efa3a316d1;manual;Trial Company;trial.com;"[""Accounting""]";Colombia;"[""Owner""]";processing;;;;2025-11-14 17:16:52.838303+00;2025-11-14 17:16:52.838303+00;10
28a0bfc0-24eb-4192-b831-1945f01ea129;b71b9ee5-7c13-403f-b46a-97efa3a316d1;manual;Trial Company;trial.com;"[""Accounting""]";Greece;"[""Owner""]";processing;;;;2025-11-14 17:17:56.589452+00;2025-11-14 17:17:56.589452+00;10
67fbb2b5-2fcb-4121-a3ae-d5fdd82effc6;b71b9ee5-7c13-403f-b46a-97efa3a316d1;manual;Trial Company;trial.com;"[""Accounting""]";Denmark;"[""Owner""]";error;;Unable to generate report. Please check your input data.;;2025-11-14 17:18:35.182768+00;2025-11-14 17:18:51.095238+00;10
8656d0ee-73d9-49be-be1a-e4d40cf4295d;b71b9ee5-7c13-403f-b46a-97efa3a316d1;manual;Trial Company;trial.com;"[""Accounting""]";China;"[""Owner""]";processing;;;;2025-11-14 17:19:19.685531+00;2025-11-14 17:19:19.685531+00;10
1c767418-acb4-4cb4-9272-27f2cdbb9424;b71b9ee5-7c13-403f-b46a-97efa3a316d1;manual;My Company;mycompany.com;"[""Accounting""]";Czech Republic;"[""Owner""]";completed;1c767418-acb4-4cb4-9272-27f2cdbb9424_result.xlsx;;;2025-11-21 09:25:44.726507+00;2025-11-21 09:25:47.810647+00;10
1dce6fd5-7b1c-4764-8b0a-61955f0299f1;b71b9ee5-7c13-403f-b46a-97efa3a316d1;manual;My Company;mycompany.com;"[""Accounting""]";China;"[""Owner""]";completed;1dce6fd5-7b1c-4764-8b0a-61955f0299f1_result.xlsx;;;2025-11-21 09:28:31.711702+00;2025-11-21 09:28:33.938161+00;10
3a73bb38-d8cc-4986-bf8d-011001858272;b71b9ee5-7c13-403f-b46a-97efa3a316d1;manual;Trial Company;trial.com;"[""Accounting""]";Denmark;"[""Owner""]";processing;;;;2025-11-15 01:30:42.055662+00;2025-11-15 01:30:42.055662+00;10
2f4943a5-a8b8-4636-8087-213429eacadf;b71b9ee5-7c13-403f-b46a-97efa3a316d1;manual;Trial Company;trial.com;"[""Accounting""]";China;"[""Owner""]";completed;2f4943a5-a8b8-4636-8087-213429eacadf_result.xlsx;;;2025-11-21 09:35:20.080934+00;2025-11-21 09:35:23.05072+00;10
50e73892-a08e-4a5c-8a0e-f81ded8adf0a;b71b9ee5-7c13-403f-b46a-97efa3a316d1;manual;asdf;trial.com;"[""Arts and Design"",""Accounting""]";Canada;"[""Owner"",""C-Suite (CXO)""]";processing;;;;2025-11-21 07:30:22.926952+00;2025-11-21 07:30:22.926952+00;10
255f5df2-e865-4720-90c0-e77d89018a2a;b71b9ee5-7c13-403f-b46a-97efa3a316d1;bulk;;;;;;processing;;;Final_template_filled.xlsm;2025-11-18 02:34:20.362766+00;2025-11-21 07:59:39.839363+00;10
44ed9009-9247-49d4-b7fa-86e87032d2b5;b71b9ee5-7c13-403f-b46a-97efa3a316d1;bulk;;;;;;processing;;;Final_template_ohne.xlsx;2025-11-18 02:35:49.485773+00;2025-11-21 07:59:39.839363+00;10
5fbb9ae1-83c7-4f83-b20f-9ba987f0fff6;b71b9ee5-7c13-403f-b46a-97efa3a316d1;bulk;;;;;;processing;;;Final_template_ohne.xlsx;2025-11-18 02:36:09.764353+00;2025-11-21 07:59:39.839363+00;10
e35cb9bd-61b3-4dbc-b052-4d60890804f8;b71b9ee5-7c13-403f-b46a-97efa3a316d1;bulk;;;;;;processing;;;Final_template_filled.xlsm;2025-11-19 19:15:20.288529+00;2025-11-21 07:59:39.839363+00;10
63f1bb4f-f057-448b-937c-2df36d72b039;b71b9ee5-7c13-403f-b46a-97efa3a316d1;manual;My Company;mycompany.com;"[""Accounting"",""Arts and Design""]";Chile;"[""Owner"",""C-Suite (CXO)""]";processing;;;;2025-11-21 08:02:10.979925+00;2025-11-21 08:02:10.979925+00;10
bdeb477a-a9a4-4ec0-9d61-809a241e24dd;b71b9ee5-7c13-403f-b46a-97efa3a316d1;bulk;;;;;;completed;bdeb477a-a9a4-4ec0-9d61-809a241e24dd_result.xlsx;;Final_template_filled.xlsm;2025-11-21 08:00:00.033808+00;2025-11-21 08:22:29.077798+00;10
11790833-1829-4395-8441-6c280d18e410;b71b9ee5-7c13-403f-b46a-97efa3a316d1;manual;My Company;mycompany.com;"[""Accounting""]";China;"[""Owner""]";processing;;;;2025-11-21 08:13:07.572915+00;2025-11-21 08:13:07.572915+00;10
aea54a5a-45a4-4078-a8cb-f199ffe9d85f;b71b9ee5-7c13-403f-b46a-97efa3a316d1;manual;My Company;mycompany.com;"[""Accounting""]";Colombia;"[""Owner""]";processing;;;;2025-11-21 08:22:25.960663+00;2025-11-21 08:22:25.960663+00;10
bc9c6e1c-fb75-4fdc-ba22-6eb3f5419913;b71b9ee5-7c13-403f-b46a-97efa3a316d1;manual;Trial Company;trial.com;"[""Accounting""]";Canada;"[""Owner""]";completed;bc9c6e1c-fb75-4fdc-ba22-6eb3f5419913_result.xlsx;;;2025-11-21 08:24:14.547015+00;2025-11-21 08:24:16.57919+00;10
f33585d8-451d-4cc8-9486-2c8859329cf6;b71b9ee5-7c13-403f-b46a-97efa3a316d1;manual;My Company;mycompany.com;"[""Accounting""]";Denmark;"[""Owner""]";completed;f33585d8-451d-4cc8-9486-2c8859329cf6_result.xlsx;;;2025-11-21 08:34:54.06855+00;2025-11-21 08:34:56.501417+00;10
4ec61bb9-5a41-443b-b265-ede8db091a02;b71b9ee5-7c13-403f-b46a-97efa3a316d1;manual;Bosch;bosch.com;"[""Engineering"",""Operations"",""Sales""]";Germany;"[""C-Suite (CXO)"",""VP"",""EVP"",""SVP"",""Director""]";processing;;;;2025-11-21 11:32:48.470016+00;2025-11-21 11:32:48.470016+00;10
